Symbol,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA100,Signal,Entry/Exit,EMA 50 dias,EMA 200 dias,RSI,Variation
IDXX,2000-01-03,4.01,4.06,3.98,4.02,4.02,1220000,,,0.0,,4.02,4.02,,
IDXX,2000-01-04,3.95,3.98,3.62,3.66,3.66,4204000,,,0.0,0.0,4.005882352941176,4.01641791044776,,-0.08955223880596996
IDXX,2000-01-05,3.75,3.81,3.69,3.77,3.77,3565200,,,0.0,0.0,3.9966320645905413,4.013965990940818,,0.030054644808743092
IDXX,2000-01-06,3.77,3.78,3.72,3.75,3.75,2865200,,,0.0,0.0,3.986960218920324,4.011339463667776,,-0.0053050397877983935
IDXX,2000-01-07,3.76,3.97,3.69,3.95,3.95,2336000,,,0.0,0.0,3.985510798570507,4.010729120745708,,0.053333333333333455
IDXX,2000-01-10,3.95,4.11,3.92,4.09,4.09,620400,,,0.0,0.0,3.98960841431284,4.011517885713412,,0.03544303797468351
IDXX,2000-01-11,4.11,4.45,4.09,4.44,4.44,2500800,,,0.0,0.0,4.007270829437827,4.015781389338155,,0.08557457212713948
IDXX,2000-01-12,4.34,4.44,4.3,4.38,4.38,1569600,,,0.0,0.0,4.021887659655952,4.019405455115885,,-0.013513513513513598
IDXX,2000-01-13,4.42,4.44,4.31,4.44,4.44,1152400,,,0.0,0.0,4.038284222022385,4.023590475462991,,0.013698630136986356
IDXX,2000-01-14,4.39,4.55,4.31,4.42,4.42,1019600,,,0.0,0.0,4.053253468217586,4.027534848841469,,-0.0045045045045045695
IDXX,2000-01-18,4.39,4.41,4.28,4.28,4.28,3671600,,,0.0,0.0,4.062145489071798,4.030046939897773,,-0.03167420814479627
IDXX,2000-01-19,4.29,4.3,4.19,4.22,4.22,2106800,,,0.0,0.0,4.068335862049374,4.0319370200977955,,-0.014018691588785215
IDXX,2000-01-20,4.19,4.22,3.97,4.12,4.12,1270400,,,0.0,0.0,4.070361906674889,4.032813268654037,,-0.023696682464454888
IDXX,2000-01-21,4.12,4.17,4.07,4.09,4.09,461600,,,0.0,0.0,4.071132027981756,4.033382290856484,,-0.00728155339805836
IDXX,2000-01-24,4.09,4.11,4.0,4.02,4.02,758400,,,0.0,0.0,4.069126850413844,4.033249133733534,,-0.017114914425427896
IDXX,2000-01-25,4.01,4.03,3.77,3.78,3.78,5472800,,,0.0,0.0,4.057788542554477,4.030729241855589,43.87755102040818,-0.05970149253731338
IDXX,2000-01-26,3.84,4.12,3.8,3.98,3.98,2132400,,,0.0,0.0,4.054738011473909,4.030224473279912,58.88888888888887,0.05291005291005302
IDXX,2000-01-27,3.97,4.0,3.91,3.91,3.91,740400,,,0.0,0.0,4.049062011023953,4.029028209864191,53.97727272727273,-0.017587939698492372
