Symbol,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA100,Signal,Entry/Exit,EMA 50 dias,EMA 200 dias,RSI,Variation
NVR,2000-01-03,47.75,47.75,46.5,46.56,46.56,36700,,,0.0,,46.56,46.56,,
NVR,2000-01-04,46.38,46.38,46.0,46.0,46.0,34100,,,0.0,0.0,46.538039215686275,46.55442786069652,,-0.012027491408934776
NVR,2000-01-05,46.0,46.12,45.75,45.88,45.88,16500,,,0.0,0.0,46.512233756247596,46.54771713571447,,-0.002608695652173809
NVR,2000-01-06,45.62,45.88,45.5,45.88,45.88,12700,,,0.0,0.0,46.48744027561043,46.54107318411533,,0.0
NVR,2000-01-07,45.5,46.75,45.5,46.75,46.75,73400,,,0.0,0.0,46.49773673539042,46.54315205790523,,0.018962510897994722
NVR,2000-01-10,47.12,47.5,47.0,47.38,47.38,20900,,,0.0,0.0,46.532335294786876,46.551478903100204,,0.013475935828876962
NVR,2000-01-11,47.25,47.5,47.0,47.5,47.5,11900,,,0.0,0.0,46.57028293028543,46.560916923964875,,0.0025327142254114587
NVR,2000-01-12,47.38,48.0,47.0,47.81,47.81,21500,,,0.0,0.0,46.61889928596051,46.57334561128861,,0.006526315789473713
NVR,2000-01-13,47.75,49.0,47.75,48.88,48.88,17300,,,0.0,0.0,46.70756990219735,46.59629739625091,,0.02238025517674136
NVR,2000-01-14,49.12,49.12,48.75,48.81,48.81,7500,,,0.0,0.0,46.79001814132687,46.618324287830504,,-0.001432078559738148
NVR,2000-01-18,48.62,48.62,47.5,47.75,47.75,27400,,,0.0,0.0,46.827664488725816,46.62958474267797,,-0.021716861298914147
NVR,2000-01-19,47.62,47.75,47.5,47.75,47.75,9400,,,0.0,0.0,46.86383450877579,46.640733153198596,,0.0
NVR,2000-01-20,47.75,48.5,47.75,48.25,48.25,13100,,,0.0,0.0,46.91819393980419,46.65674575863941,,0.010471204188481575
NVR,2000-01-21,48.75,49.0,47.88,48.56,48.56,32800,,,0.0,0.0,46.98257849118442,46.67568361178728,,0.006424870466321231
NVR,2000-01-24,48.75,49.0,48.5,48.75,48.75,31900,,,0.0,0.0,47.051889138588955,46.6963235758491,,0.003912685337726485
NVR,2000-01-25,48.75,49.25,48.56,49.25,49.25,45000,,,0.0,0.0,47.138089564526645,46.721733291512294,71.31537242472264,0.01025641025641022
NVR,2000-01-26,49.0,49.12,48.62,48.62,48.62,11300,,,0.0,0.0,47.19620369925109,46.7406215174674,70.53291536050153,-0.012791878172588866
NVR,2000-01-27,48.5,48.5,47.12,47.12,47.12,25700,,,0.0,0.0,47.193215318888306,46.74439642774136,57.989690721649445,-0.030851501439736695
NVR,2000-01-28,47.12,47.25,46.38,46.38,46.38,11600,,,0.0,0.0,47.16132452206916,46.74077059263946,52.94117647058823,-0.015704584040746927
NVR,2000-01-31,46.38,46.38,45.25,45.25,45.25,14400,,,0.0,0.0,47.08637061924292,46.72593705440424,41.43835616438356,-0.024363949978439048
NVR,2000-02-01,45.0,45.0,43.75,44.88,44.88,27500,,,0.0,0.0,46.999846281233395,46.707569521524604,35.294117647058826,-0.008176795580110419
NVR,2000-02-02,45.12,45.12,44.5,44.62,44.62,7500,,,0.0,0.0,46.90651897608699,46.68679768548954,33.33333333333333,-0.005793226381461736
NVR,2000-02-03,44.5,44.81,44.38,44.38,44.38,17100,,,0.0,0.0,46.80743980055417,46.663844474688645,29.988331388564774,-0.005378753922007928
NVR,2000-02-04,44.12,45.38,44.0,45.31,45.31,13600,,,0.0,0.0,46.748716671120675,46.650373385388264,28.825622775800696,0.02095538530869767
NVR,2000-02-07,45.31,46.12,45.31,45.88,45.88,16600,,,0.0,0.0,46.71464935068457,46.64270797856849,33.59462486002239,0.012580004414036727
NVR,2000-02-08,45.62,46.75,45.62,45.88,45.88,25600,,,0.0,0.0,46.681918003598895,46.63511884445339,38.1194409148666,0.0
NVR,2000-02-09,45.5,45.5,43.81,44.19,44.19,29000,,,0.0,0.0,46.58419572894796,46.61078930371256,31.380753138075306,-0.03683522231909342
NVR,2000-02-10,44.12,44.25,42.25,42.25,42.25,104000,,,0.0,0.0,46.414227268989215,46.56739836536716,22.727272727272734,-0.04390133514369765
NVR,2000-02-11,42.25,42.5,42.0,42.5,42.5,17800,,,0.0,0.0,46.2607281604014,46.526926739841116,22.30347349177329,0.00591715976331364
NVR,2000-02-14,42.38,43.0,42.25,42.75,42.75,11500,,,0.0,0.0,46.12305254626801,46.489345379245684,22.727272727272734,0.00588235294117645
NVR,2000-02-15,42.75,43.44,42.75,43.38,43.38,32800,,,0.0,0.0,46.01548185817907,46.45840661925319,23.629829290206672,0.01473684210526316
NVR,2000-02-16,43.62,43.88,43.25,43.88,43.88,5200,,,0.0,0.0,45.931737471583816,46.43275083199694,28.454545454545467,0.01152604887044717
NVR,2000-02-17,43.75,44.25,43.69,44.12,44.12,8200,,,0.0,0.0,45.86068894328641,46.40973838590742,34.59958932238192,0.005469462169553241
NVR,2000-02-18,44.0,44.38,43.19,43.19,43.19,29200,,,0.0,0.0,45.755956043549695,46.3777011880377,33.93756294058407,-0.02107887579329104
NVR,2000-02-22,43.0,43.25,42.5,42.88,42.88,18900,,,0.0,0.0,45.64317345360657,46.342898191141806,36.992316136114155,-0.007177587404491703
NVR,2000-02-23,42.75,43.5,42.25,43.5,43.5,48100,,,0.0,0.0,45.55912743581808,46.31461064695134,42.62820512820511,0.01445895522388052
NVR,2000-02-24,43.5,44.62,43.38,44.62,44.62,65400,,,0.0,0.0,45.522298908923254,46.29774884946924,50.0,0.025747126436781453
NVR,2000-02-25,44.38,44.5,44.12,44.12,44.12,19400,,,0.0,0.0,45.46730679484783,46.27607970668845,48.7595419847328,-0.011205737337516841
NVR,2000-02-28,44.0,44.5,43.19,44.12,44.12,27200,,,0.0,0.0,45.41447123426556,46.25462617726866,43.76963350785337,0.0
NVR,2000-02-29,44.25,44.75,44.12,44.12,44.12,37500,,,0.0,0.0,45.363707656451226,46.233386115803306,40.20044543429841,0.0
NVR,2000-03-01,44.12,44.75,44.12,44.38,44.38,49000,,,0.0,0.0,45.32513088561,46.21494446290974,41.883116883116884,0.005893019038984759
NVR,2000-03-02,44.31,44.5,44.0,44.5,44.5,63500,,,0.0,0.0,45.29277281166451,46.19788033890069,52.02086049543678,0.002703920684993255
NVR,2000-03-03,44.75,44.75,44.12,44.19,44.19,6800,,,0.0,0.0,45.24952681905022,46.177901430055904,66.05960264900664,-0.006966292134831464
NVR,2000-03-06,44.06,44.88,44.0,44.62,44.62,31400,,,0.0,0.0,45.224839492812954,46.162399923289186,67.04180064308682,0.00973070830504641
NVR,2000-03-07,44.88,44.88,44.0,44.38,44.38,20100,,,0.0,0.0,45.191708532310486,46.144664600669394,63.12399355877621,-0.005378753922007928
NVR,2000-03-08,44.25,44.5,44.12,44.12,44.12,6300,,,0.0,0.0,45.14968074672968,46.124518684244826,56.335616438356126,-0.00585849481748546
NVR,2000-03-09,44.53,44.88,44.5,44.75,44.75,8000,,,0.0,0.0,45.13400699195597,46.110841881416526,57.28643216080401,0.014279238440616515
NVR,2000-03-10,44.62,44.75,44.5,44.62,44.62,6400,,,0.0,0.0,45.113849855016525,46.096007633840244,54.26621160409557,-0.0029050279329609907
NVR,2000-03-13,44.56,44.62,44.25,44.38,44.38,12600,,,0.0,0.0,45.0850714293296,46.07893293101596,61.508704061895614,-0.005378753922007928
NVR,2000-03-14,44.25,44.56,44.25,44.56,44.56,20200,45.483999999999995,,0.0,0.0,45.06448039288531,46.063819170508346,66.66666666666666,0.004055881027489772
NVR,2000-03-15,44.53,44.56,44.47,44.56,44.56,12300,45.444,,0.0,0.0,45.04469684806628,46.04885579567742,61.99095022624437,0.0
NVR,2000-03-16,44.53,47.12,44.5,46.75,46.75,30100,45.459,,0.0,0.0,45.11157148147545,46.05583235492441,69.39890710382515,0.049147217235188556
NVR,2000-03-17,46.75,50.75,46.75,49.5,49.5,47900,45.531400000000005,,0.0,0.0,45.28366671749602,46.090102679751034,84.75452196382429,0.05882352941176472
NVR,2000-03-20,49.5,51.0,49.12,50.5,50.5,38500,45.6238,,0.0,0.0,45.48822880700598,46.133982255076894,86.49885583524028,0.02020202020202011
NVR,2000-03-21,50.25,52.62,50.25,51.75,51.75,20000,45.723800000000004,,0.0,0.0,45.7337884616332,46.189863028658216,88.18818818818819,0.024752475247524774
